		time				value
           2.1434862e-10                     0.066640854
           2.1474408e-10                     0.064514004
           2.1513957e-10                      0.06244291
           2.1553505e-10                     0.060426634
           2.1593052e-10                      0.05846424
             2.16326e-10                     0.056554593
           2.1672147e-10                     0.054696821
           2.1711695e-10                     0.052889861
           2.1751244e-10                     0.051132612
           2.1790791e-10                     0.049424313
           2.1830338e-10                     0.047763862
           2.1869888e-10                     0.046150181
           2.1909434e-10                     0.044582512
           2.1948982e-10                     0.043059777
           2.1988529e-10                     0.041581027
           2.2028078e-10                     0.040145215
           2.2067626e-10                     0.038751587
           2.2107172e-10                     0.037399117
           2.2146722e-10                     0.036086798
           2.2186268e-10                     0.034813888
           2.2225816e-10                     0.033579394
           2.2265363e-10                     0.032382421
           2.2304912e-10                     0.031222012
            2.234446e-10                     0.030097447
           2.2384006e-10                     0.029007787
           2.2423553e-10                     0.027952179
           2.2463102e-10                     0.026929721
            2.250265e-10                     0.025939716
           2.2542197e-10                     0.024981285
           2.2581746e-10                     0.024053561
           2.2621294e-10                     0.023155876
            2.266084e-10                     0.022287389
           2.2700387e-10                     0.021447334
           2.2739936e-10                     0.020634908
           2.2779484e-10                     0.019849472
           2.2819031e-10                     0.019090248
            2.285858e-10                      0.01835647
           2.2898128e-10                     0.017647536
           2.2937674e-10                     0.016962705
           2.2977222e-10                     0.016301304
            2.301677e-10                     0.015662625
           2.3056318e-10                     0.015046103
           2.3095865e-10                      0.01445106
           2.3135414e-10                     0.013876832
           2.3174962e-10                     0.013322886
           2.3214508e-10                     0.012788583
           2.3254056e-10                     0.012273337
           2.3293606e-10                     0.011776545
           2.3333152e-10                     0.011297711
           2.3372698e-10                     0.010836254
           2.3412247e-10                     0.010391639
           2.3451796e-10                     0.009963315
           2.3491342e-10                    0.0095508285
           2.3530888e-10                    0.0091536511
            2.357044e-10                    0.0087712724
           2.3609986e-10                    0.0084032686
           2.3649532e-10                      0.00804915
           2.3689081e-10                    0.0077084652
            2.372863e-10                    0.0073807547
           2.3768176e-10                    0.0070656314
           2.3807722e-10                    0.0067626573
           2.3847274e-10                    0.0064714062
            2.388682e-10                    0.0061915205
           2.3926366e-10                    0.0059225969
           2.3965915e-10                    0.0056642597
           2.4005464e-10                    0.0054161293
            2.404501e-10                    0.0051778839
           2.4084557e-10                    0.0049491627
           2.4124108e-10                    0.0047296179
           2.4163654e-10                    0.0045189527
           2.4203201e-10                    0.0043168371
           2.4242749e-10                    0.0041229655
           2.4282298e-10                    0.0039370288
           2.4321845e-10                     0.003758763
           2.4361391e-10                    0.0035878762
           2.4400942e-10                    0.0034240868
           2.4440489e-10                    0.0032671536
           2.4480035e-10                    0.0031168114
           2.4519584e-10                    0.0029728133
           2.4559133e-10                    0.0028349117
           2.4598679e-10                    0.0027028935
           2.4638225e-10                    0.0025765258
           2.4677776e-10                    0.0024555842
           2.4717323e-10                    0.0023398753
           2.4756869e-10                    0.0022291881
           2.4796418e-10                     0.002123327
           2.4835967e-10                    0.0020220962
           2.4875513e-10                     0.001925326
           2.4915059e-10                    0.0018328329
           2.4954608e-10                    0.0017444465
           2.4994157e-10                    0.0016599965
           2.5033703e-10                     0.001579335
           2.5073252e-10                    0.0015023028
           2.5112801e-10                    0.0014287473
           2.5152347e-10                    0.0013585354
           2.5191893e-10                    0.0012915244
           2.5231442e-10                    0.0012275819
           2.5270991e-10                    0.0011665758
           2.5310537e-10                    0.0011083913
           2.5350086e-10                    0.0010529056
           2.5389635e-10                    0.0010000009
           2.5429181e-10                   0.00094957434
           2.5468727e-10                   0.00090151653
           2.5508276e-10                   0.00085572572
           2.5547825e-10                   0.00081210118
           2.5587371e-10                   0.00077055447
            2.562692e-10                   0.00073099212
           2.5666469e-10                   0.00069332472
           2.5706015e-10                   0.00065747363
           2.5745561e-10                   0.00062335597
            2.578511e-10                   0.00059089466
           2.5824659e-10                   0.00056001369
           2.5864205e-10                   0.00053064601
           2.5903754e-10                   0.00050272135
             2.59433e-10                    0.0004761742
           2.5982849e-10                   0.00045094028
           2.6022395e-10                   0.00042696265
           2.6061944e-10                   0.00040418192
           2.6101493e-10                   0.00038254145
           2.6141039e-10                   0.00036199103
           2.6180588e-10                   0.00034247848
           2.6220134e-10                   0.00032395514
           2.6259683e-10                    0.0003063734
           2.6299229e-10                     0.000289691
           2.6338778e-10                   0.00027386408
           2.6378327e-10                   0.00025885089
           2.6417873e-10                   0.00024461441
           2.6457422e-10                    0.0002311163
           2.6496969e-10                   0.00021832087
           2.6536517e-10                   0.00020619326
           2.6576064e-10                   0.00019470246
           2.6615612e-10                   0.00018381653
           2.6655161e-10                   0.00017350509
           2.6694708e-10                   0.00016374108
           2.6734256e-10                   0.00015449671
           2.6773803e-10                    0.0001457461
           2.6813352e-10                   0.00013746407
           2.6852898e-10                   0.00012962813
           2.6892447e-10                   0.00012221525
           2.6931996e-10                   0.00011520361
           2.6971542e-10                   0.00010857368
           2.7011088e-10                   0.00010230555
           2.7050637e-10                   9.6380689e-05
           2.7090186e-10                   9.0781061e-05
           2.7129732e-10                   8.5490596e-05
